"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0.2","3","0","0.2","0","0"
"1","1","1","0","0","-0.8","1.5","0","-0.8","0","0"
"1","1","2","0","0","-1.8","1","0","-1.8","0","0"
"1","1","3","0","0","-2.5","2","0","-2.5","0","0"
"1","1","4","0","0","-2.9","1","0","-2.9","0","0"
"1","1","5","0","0","-3.3","1","0","-3.3","0","0"
"1","1","6","0","0","-3.2","0","0","-3.2","0","0"
"1","1","7","0","15","-3","2","13.551","-4.92","3254.002","1869.883"
"1","1","8","154","81","-1","2","188.788","2.202","43059.688","41643.082"
"1","1","9","390","115","2","0","418.292","18.157","89913.219","88169.945"
"1","1","10","539","123","5","1","585.883","23.589","123549.32","121379.219"
"1","1","11","619","105","5.5","0","662.755","32.748","134015.078","131679.375"
"1","1","12","325","176","6","0","484.046","27.925","100236.391","98379.219"
"1","1","13","233","153","7","0","365.041","23.496","77026.398","75404.07"
"1","1","14","90","110","7","0","188.286","16.016","40979.762","39570.426"
"1","1","15","0","35","6.4","0","33.478","7.059","7642.199","6265.538"
"1","1","16","0","2","4","1","1.866","1.47","436.291","0"
"1","1","17","0","0","2","1","0","2","0","0"
"1","1","18","0","0","1","0","0","1","0","0"
"1","1","19","0","0","1","1","0","1","0","0"
"1","1","20","0","0","0","1","0","0","0","0"
"1","1","21","0","0","-0.4","3","0","-0.4","0","0"
"1","1","22","0","0","-1","0","0","-1","0","0"
"1","1","23","0","0","1","3","0","1","0","0"
"1","2","0","0","0","1","2","0","1","0","0"
"1","2","1","0","0","1","2","0","1","0","0"
"1","2","2","0","0","1","3","0","1","0","0"
"1","2","3","0","0","-1","2","0","-1","0","0"
"1","2","4","0","0","-1","1","0","-1","0","0"
"1","2","5","0","0","-1","1","0","-1","0","0"
"1","2","6","0","0","-1.2","0","0","-1.2","0","0"
"1","2","7","0","11","-1","0","9.922","-5.147","2384.681","998.759"
"1","2","8","127","65","1","0","151.981","4.261","34340.879","32950.641"
"1","2","9","241","128","4","0","324.737","16.244","70566.805","68996.219"
"1","2","10","235","176","8","0","391.842","24.1","82575.93","80904.406"
"1","2","11","124","226","9","0","364.401","24.639","76756.602","75136.555"
"1","2","12","79","208","8.6","0","302.425","21.811","64556.586","63028.82"
"1","2","13","282","151","10","0","398.396","26.093","83007.648","81332.117"
"1","2","14","249","106","9","0","288.029","21.962","60615.738","59113.266"
"1","2","15","49","47","7.4","0","81.778","11.392","17915.678","16545.779"
"1","2","16","0","2","5","0","1.866","1.857","435.576","0"
"1","2","17","0","0","4","0","0","4","0","0"
"1","2","18","0","0","3","0","0","3","0","0"
"1","2","19","0","0","2","2","0","2","0","0"
"1","2","20","0","0","2","1","0","2","0","0"
"1","2","21","0","0","1.8","0","0","1.8","0","0"
"1","2","22","0","0","2","0","0","2","0","0"
"1","2","23","0","0","0","0","0","0","0","0"
"1","3","0","0","0","-0.8","2","0","-0.8","0","0"
"1","3","1","0","0","0","2","0","0","0","0"
"1","3","2","0","0","-1","0","0","-1","0","0"
"1","3","3","0","0","-0.2","2","0","-0.2","0","0"
"1","3","4","0","0","-1","2","0","-1","0","0"
"1","3","5","0","0","1","0","0","1","0","0"
"1","3","6","0","0","-1.4","1","0","-1.4","0","0"
"1","3","7","0","15","0.3","1","13.551","-2.085","3215.995","1831.798"
"1","3","8","196","62","2","1","182.539","5.582","40745.266","39336.711"
"1","3","9","72","135","4.2","2","200.22","8.355","45259.211","43834.246"
"1","3","10","384","157","5","0","494.706","23.895","104255.672","102350.055"
"1","3","11","594","118","7","1","658.035","28.013","136154.625","133783.156"
"1","3","12","634","99","9","2","659.993","27.1","137064.719","134677.844"
"1","3","13","543","98","10","0","542.378","33.52","108816","106852.641"
"1","3","14","321","96","10","2","328.961","18.934","70081.211","68514.273"
"1","3","15","56","46","8","2","82.789","9.412","18246.482","16876.553"
"1","3","16","0","2","5","0","1.866","1.837","435.612","0"
"1","3","17","0","0","3","0","0","3","0","0"
"1","3","18","0","0","2.6","0","0","2.6","0","0"
"1","3","19","0","0","2","0","0","2","0","0"
"1","3","20","0","0","1.9","0","0","1.9","0","0"
"1","3","21","0","0","1.8","0","0","1.8","0","0"
"1","3","22","0","0","1","0","0","1","0","0"
"1","3","23","0","0","1","0","0","1","0","0"
"1","4","0","0","0","0","0","0","0","0","0"
"1","4","1","0","0","0","0","0","0","0","0"
"1","4","2","0","0","0","0","0","0","0","0"
"1","4","3","0","0","-0.6","0","0","-0.6","0","0"
"1","4","4","0","0","-1","0","0","-1","0","0"
"1","4","5","0","0","0","0","0","0","0","0"
"1","4","6","0","0","0","0","0","0","0","0"
"1","4","7","0","12","0","0","10.828","-4.086","2591.136","1205.652"
"1","4","8","133","81","2","2","169.588","4.645","38304.422","36903.539"
"1","4","9","451","96","5","1","435.177","17.689","93623.563","91841.094"
"1","4","10","391","163","8","2","507.902","21.397","108291.555","106334.984"
"1","4","11","144","190","9","1","343.92","20.428","73855.844","72259.648"
"1","4","12","127","190","8","2","329.213","16.276","72043.609","70461.711"
"1","4","13","47","151","8","2","201.443","12.718","44782.074","43358.98"
"1","4","14","0","82","8","2","79.656","8.851","18042.293","16672.385"
"1","4","15","0","17","7","0","15.335","4.473","3539.821","2156.271"
"1","4","16","0","1","6","0","0.933","1.798","217.842","0"
"1","4","17","0","0","6","0","0","6","0","0"
"1","4","18","0","0","5.6","0","0","5.6","0","0"
"1","4","19","0","0","6","0","0","6","0","0"
"1","4","20","0","0","6","0","0","6","0","0"
"1","4","21","0","0","5.4","0","0","5.4","0","0"
"1","4","22","0","0","5","0","0","5","0","0"
"1","4","23","0","0","5","0","0","5","0","0"
"1","5","0","0","0","5","0","0","5","0","0"
"1","5","1","0","0","5","0","0","5","0","0"
"1","5","2","0","0","5","0","0","5","0","0"
"1","5","3","0","0","5","0","0","5","0","0"
"1","5","4","0","0","5","0","0","5","0","0"
"1","5","5","0","0","5","1","0","5","0","0"
"1","5","6","0","0","4.8","2","0","4.8","0","0"
"1","5","7","0","10","4","0","9.016","-0.111","2122.074","735.586"
"1","5","8","45","64","7","0","92.082","6.863","20764.758","19394.08"
"1","5","9","69","135","7.4","0","197.815","13.877","43644.633","42225.871"
"1","5","10","99","181","9","0","280.518","19.872","60366.34","58865.395"
"1","5","11","90","211","9","0","314.278","21.9","67063.531","65518.531"
"1","5","12","88","205","11","1","304.56","20.176","65500.18","63966.035"
"1","5","13","44","152","11","2","200.32","15.598","43967.789","42547.816"
"1","5","14","0","82","10","2","79.479","10.863","17844.211","16474.316"
"1","5","15","0","17","10","0.5","15.334","8.074","3485.056","2101.397"
"1","5","16","0","2","8","1","1.866","5.452","428.939","0"
"1","5","17","0","0","7","0","0","7","0","0"
"1","5","18","0","0","6.6","0","0","6.6","0","0"
"1","5","19","0","0","6","0","0","6","0","0"
"1","5","20","0","0","5","2","0","5","0","0"
"1","5","21","0","0","4.4","0","0","4.4","0","0"
"1","5","22","0","0","4","2","0","4","0","0"
"1","5","23","0","0","3","0","0","3","0","0"
"1","6","0","0","0","2","0","0","2","0","0"
"1","6","1","0","0","2","1","0","2","0","0"
"1","6","2","0","0","2","0","0","2","0","0"
"1","6","3","0","0","1","2","0","1","0","0"
"1","6","4","0","0","2","1","0","2","0","0"
"1","6","5","0","0","3","2","0","3","0","0"
"1","6","6","0","0","3","0","0","3","0","0"
"1","6","7","0","12","3","0","10.828","-0.98","2557.814","1172.259"
"1","6","8","137","73","6","0","159.148","9.674","35094.328","33702.238"
"1","6","9","383","105","9","0","400.853","24.028","83834.219","82150.938"
"1","6","10","498","119","12","0","549.759","33.907","110363.109","108379.484"
"1","6","11","469","156","12","2","596.854","28.008","123557.234","121387.008"
"1","6","12","459","154","14","0","580.529","38.075","114370.328","112332.648"
"1","6","13","426","132","14","0","494.734","35.211","98560.906","96723.25"
"1","6","14","359","87","13","0","342.849","28.533","69793.109","68228.32"
"1","6","15","77","50","12.2","2","97.049","14.092","20874.766","19504.033"
"1","6","16","0","3","10.6","1","2.799","8.623","634.623","0"
"1","6","17","0","0","9","0","0","9","0","0"
"1","6","18","0","0","7","2","0","7","0","0"
"1","6","19","0","0","7","1","0","7","0","0"
"1","6","20","0","0","5","0","0","5","0","0"
"1","6","21","0","0","5","2","0","5","0","0"
"1","6","22","0","0","4.5","3.1","0","4.5","0","0"
"1","6","23","0","0","4","4.1","0","4","0","0"
"1","7","0","0","0","4","3","0","4","0","0"
"1","7","1","0","0","4","3","0","4","0","0"
"1","7","2","0","0","4","2","0","4","0","0"
"1","7","3","0","0","3","1","0","3","0","0"
"1","7","4","0","0","2","1","0","2","0","0"
"1","7","5","0","0","2","3","0","2","0","0"
"1","7","6","0","0","4","2.5","0","4","0","0"
"1","7","7","0","15","3","3","13.551","1.412","3168.986","1784.694"
"1","7","8","168","78","6","2","190.098","9.247","41969.434","40556.715"
"1","7","9","448","97","9","2","434.087","19.568","92596.344","90824.922"
"1","7","10","584","104","11","1","604.258","29.942","123626.563","121455.297"
"1","7","11","645","101","14","0","682.44","41.351","132223","129916.758"
"1","7","12","635","101","13","3","666.694","29.018","137227.828","134838.172"
"1","7","13","550","100","13","2","553.808","28.235","114035.258","112002.18"
"1","7","14","375","87","13","1","353.288","24.842","73184.836","71593.992"
"1","7","15","65","45","11","1","83.89","13.228","18130.471","16760.555"
"1","7","16","0","3","9","1","2.799","6.91","639.37","0"
"1","7","17","0","0","6","2","0","6","0","0"
"1","7","18","0","0","6","1.5","0","6","0","0"
"1","7","19","0","0","6","0","0","6","0","0"
"1","7","20","0","0","5.5","0","0","5.5","0","0"
"1","7","21","0","0","5","0","0","5","0","0"
"1","7","22","0","0","4","0","0","4","0","0"
"1","7","23","0","0","4","0","0","4","0","0"
"1","8","0","0","0","2","0","0","2","0","0"
"1","8","1","0","0","2","0","0","2","0","0"
"1","8","2","0","0","2","0","0","2","0","0"
"1","8","3","0","0","2.4","2","0","2.4","0","0"
"1","8","4","0","0","3","0","0","3","0","0"
"1","8","5","0","0","3","0","0","3","0","0"
"1","8","6","0","0","2.8","0","0","2.8","0","0"
"1","8","7","0","10","2","0","9.016","-2.046","2139.28","752.83"
"1","8","8","49","65","4","0","95.054","4.02","21681.559","20310.385"
"1","8","9","71","137","5","0","201.206","11.66","44830.434","43407.152"
"1","8","10","101","184","7","0","285.425","18.134","61913.59","60403.031"
"1","8","11","91","215","9","0","319.741","22.135","68157.773","66604.969"
"1","8","12","89","209","10.4","0","309.976","23.433","65670.586","64135.27"
"1","8","13","77","174","11","1","254.02","18.545","54987.234","53517.059"
"1","8","14","81","107","12","2","177.171","15.785","38637.047","37235.164"
"1","8","15","0","43","9.6","1","41.946","9.402","9478.126","8103.773"
"1","8","16","0","3","7","2","2.799","5.06","644.493","0"
"1","8","17","0","0","6","1","0","6","0","0"
"1","8","18","0","0","5","2","0","5","0","0"
"1","8","19","0","0","6","2.5","0","6","0","0"
"1","8","20","0","0","5","1","0","5","0","0"
